Station_Code,latitude,longitude,Hub distance end point_latitude,Hub distance end point_longitude,Hub distance end point_HubName_mouth,Hub distance end point_dist_to_mouth_m,Hub distance start point_latitude,Hub distance start point_longitude,Hub distance start point_HubName_head,Hub distance start point_dist_to_headwater_m,Hub distance KBA_latitude,Hub distance KBA_longitude,Hub distance KBA_Hub distance end point_latitude,Hub distance KBA_Hub distance end point_longitude,Hub distance KBA_Hub distance end point_HubName_mouth,Hub distance KBA_Hub distance end point_dist_to_mouth_m,Hub distance KBA_Hub distance start point_latitude,Hub distance KBA_Hub distance start point_longitude,Hub distance KBA_Hub distance start point_HubName_head,Hub distance KBA_Hub distance start point_dist_to_headwater_m,Hub distance KBA_HubName,Hub distance KBA_HubDist
ACO2022A13,5.863694444,125.0793889,5.863694444,125.0793889,,3864.58014641566,5.863694444,125.0793889,"0",2512.33093793535,5.863694444,125.0793889,5.863694444,125.0793889,,3864.58014641566,5.863694444,125.0793889,"0",2512.33093793535,Mount Matutum,55990.7982860901
ACO2022A14,5.861611111,125.0771389,5.861611111,125.0771389,,3887.37297943619,5.861611111,125.0771389,"0",2214.41615179735,5.861611111,125.0771389,5.861611111,125.0771389,,3887.37297943619,5.861611111,125.0771389,"0",2214.41615179735,Mount Matutum,56222.0365663316
BIN2019A0X,11.33811652,124.1152219,11.33811652,124.1152219,,10478.5947760636,11.33811652,124.1152219,"0",12811.6997834779,11.33811652,124.1152219,11.33811652,124.1152219,,10478.5947760636,11.33811652,124.1152219,"0",12811.6997834779,Biliran and Maripipi Island,49786.1617047703
ESQ2020A01,8.520472,124.612694,8.520472,124.612694,,2760.21797180855,8.520472,124.612694,"246",543.960263022752,8.520472,124.612694,8.520472,124.612694,,2760.21797180855,8.520472,124.612694,"246",543.960263022752,Mount Balatukan,55413.3461371211
ESQ2020A02,8.520472,124.61275,8.520472,124.61275,,2766.38176008463,8.520472,124.61275,"246",544.986475939371,8.520472,124.61275,8.520472,124.61275,,2766.38176008463,8.520472,124.61275,"246",544.986475939371,Mount Balatukan,55407.7472236962
ESQ2020A03,8.520472,124.612778,8.520472,124.612778,,2769.46365715701,8.520472,124.612778,"246",545.524990575709,8.520472,124.612778,8.520472,124.612778,,2769.46365715701,8.520472,124.612778,"246",545.524990575709,Mount Balatukan,55404.9478119607
ESQ2020A04,8.511694,124.643028,8.511694,124.643028,,2794.55546361263,8.511694,124.643028,"246",3454.70685031646,8.511694,124.643028,8.511694,124.643028,,2794.55546361263,8.511694,124.643028,"246",3454.70685031646,Mount Tago Range,52149.6452799427
ESQ2020A05,8.511722,124.642972,8.511722,124.642972,,2801.20747754996,8.511722,124.642972,"246",3448.20167933423,8.511722,124.642972,8.511722,124.642972,,2801.20747754996,8.511722,124.642972,"246",3448.20167933423,Mount Tago Range,52156.5278480587
ESQ2020A06,8.51175,124.642944,8.51175,124.642944,,2805.57081853985,8.51175,124.642944,"246",3444.75698709849,8.51175,124.642944,8.51175,124.642944,,2805.57081853985,8.51175,124.642944,"246",3444.75698709849,Mount Tago Range,52160.5650149258
ESQ2020A07,8.503306,124.663833,8.503306,124.663833,,969.892912187068,8.503306,124.663833,"250",4970.30745166395,8.503306,124.663833,8.503306,124.663833,,969.892912187068,8.503306,124.663833,"250",4970.30745166395,Mount Tago Range,49678.3706846093
ESQ2020A08,8.503306,124.663861,8.503306,124.663861,,970.586631873583,8.503306,124.663861,"250",4972.21168066288,8.503306,124.663861,8.503306,124.663861,,970.586631873583,8.503306,124.663861,"250",4972.21168066288,Mount Tago Range,49675.5258642729
ESQ2020A09,8.503306,124.663917,8.503306,124.663917,,972.001921233104,8.503306,124.663917,"250",4976.02368312016,8.503306,124.663917,8.503306,124.663917,,972.001921233104,8.503306,124.663917,"250",4976.02368312016,Mount Tago Range,49669.8363090972
ESQ2020A10,8.480194,124.722333,8.480194,124.722333,,1745.29545552161,8.480194,124.722333,"297",1235.68575530004,8.480194,124.722333,8.480194,124.722333,,1745.29545552161,8.480194,124.722333,"297",1235.68575530004,Mount Tago Range,42749.7320323903
