Station_Code,latitude,longitude,dist_to_endpoint_m,dist_to_startpoint_m,KBA_dist_m,landfill_dist_m,KBA_Hub,landfill_Hub
CAP2023A31,11.11223833,124.0046133,1736.67884,2603.463296,58502.86284,54894.27888,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A32,11.11204,124.0043017,1715.389703,2613.706367,58475.82076,54925.67663,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A33,11.11160833,124.004465,1752.742704,2664.621294,58431.48941,54902.68014,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A34,11.11063833,124.0055283,1905.57782,2803.336445,58344.06858,54775.51421,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A35,11.11061167,124.0052783,1883.04168,2797.19073,58336.78225,54802.34699,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A36,11.11033333,124.0051117,1882.359907,2820.594442,58303.47985,54817.12383,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
CAP2023A37,10.96695,123.9232167,3578.363292,780.8915017,41697.10103,48914.78038,Mount Capayas,LGU Balamban
CAP2023A38,10.96711667,123.9233333,3556.342037,758.5280484,41715.64598,48936.60433,Mount Capayas,LGU Balamban
CAP2023A39,10.96728333,123.92345,3534.318688,736.1616117,41734.19373,48958.43178,Mount Capayas,LGU Balamban
CAP2023A40,10.96745,123.9227667,3575.23591,771.5265265,41752.02062,48948.26297,Mount Capayas,LGU Balamban
CAP2023A41,10.96753333,123.92305,3546.454116,743.6124042,41761.47387,48968.1578,Mount Capayas,LGU Balamban
CAP2023A42,10.96775,123.9232667,3512.772158,709.9401898,41785.63586,48999.12732,Mount Capayas,LGU Balamban
JAR2023A01,7.23901,125.64952,1098.242499,1075.989065,50776.178,9666.138915,Mount Apo,Panabo City SLF
JAR2023A02,7.18194,125.65345,470.4953671,410.0049595,47888.35012,11460.58697,Mount Apo,Davao City Sanitary Landfill Project (Level 4)/ City Government of Davao
JAR2023A03,7.03008,125.57382,5774.15999,1990.523201,34024.08843,13421.3709,Mount Apo,Davao City Sanitary Landfill Project (Level 4)/ City Government of Davao
JAR2023A04,7.03832,125.53524,6380.82944,2574.274296,30008.47986,12530.98955,Mount Apo,Davao City Sanitary Landfill Project (Level 4)/ City Government of Davao
JAR2023A05,7.01067,125.51017,2259.734942,2703.338123,26753.7778,16170.55463,Mount Apo,Davao City Sanitary Landfill Project (Level 4)/ City Government of Davao
JAR2023A06,7.25122,125.66442,1632.394991,2652.485893,51509.28337,10235.16648,Mount Sinaka,Panabo City SLF
JAR2023A07,7.03876,125.57845,4810.51941,1644.982905,34695.55394,12570.66267,Mount Apo,Davao City Sanitary Landfill Project (Level 4)/ City Government of Davao
JAR2023A08,7.03834,125.53518,6378.206183,2579.324532,30002.48019,12529.95353,Mount Apo,Davao City Sanitary Landfill Project (Level 4)/ City Government of Davao
